post,tags
"The quality of the cards is very good.  Box is sturdy.  The idea for the game is interesting.  I'm just not a fan of the game.  It's definitely a game for teens and/or 20 something age range.  Although beware, many of the cards have very adult material.  It can be a little shocking and sick.  I think the developers intended that.  Once you get past that, there is really not much substance to the game and it becomes quite boring.  I don't think the add on's are worth the extra money you spend.  The main game isn't worth the money either.  The game is very subjective as the person judging is doing so in a completely subjective fashion, usually simply based on their own personal perspectives.  I think it is a fad.  Keep in mind, the seller is good and the product quality is fine.  It's the game itself that my review is based on.",2
"Order this product on a Monday,selected the two day shipping option, and it is set to arrive on Friday, this is not two days. If you're wanting it in two days I wouldn't recommend buying it, but this is an extremely fun game if you're into crude humor. Do not buy this for your younger kids",2
"I received my item today, and it is what I ordered. However, the box has been cut all the way through on one side. Cards can slip out of it. I didn't pay $20+ for a card game for the box to be messed up and cards to get lost.",2
"The cards in this box, really are not up to par. You should order a few expansion packs to go with this.",2
Some of the answers are demeaning to humans.,2
Not for kind at heart,2
It got old after a couple play throughs.,2
Worth a few laughs once or twice. We took it with us on a trip to try with friends. We left it there. Expensive for a few marginal laughs.,2
Love the game but box came damaged and now it's hard to store.,2
I'm just not a fan of this game after trying it out... gave it to my sister.  Cards looked used and damaged.,2
"Product was damaged when it arrived it looked like the box was dropped, hard to fit the cards back in",2
This game is funny the first few times but definetly gets boring really fast. Definetly overpriced as well,2
This came a week after expected. That's why rating is low.,2
"My brother, (whom this was bought for) wanted a set and so I purchased them for him, and as you might imagine, I was a little upset to find that this is one box, not two as shown in the photo. Had I known that, I would have purchased one of the others that are only $10. Personally, I feel a bit cheated, but I suppose there's nothing to do but take it as it is.I had a chance to play with my brother and I think the game itself is quite fun, addictive, and plain hilarious. It let's you know how twisted you truly are. I would have rated this higher, but adding my comment above, my palate has been tainted a bit, after this experience.",2
"Horrible, nasty game!",2
"Maybe it was who I was playing with, but this game was not as exciting as I thought it was going to be.",2
"The game is great, but some of the cards were damaged. not happy about that.",2
Too vulgar. Could be very funny without going to that extent.,2
the box damage!!!!,2
"The game is as advertised but many of the questions seemed useless.  I would not repeat, Not recommended",2
I was happy with it but I was not happy that the box was almost completely destroyed when I got it. Like it had been thrown around and crushed by bigger stuff.,2
"We loved the game the first 3 times we played it, but it got old fast. There are just too many cards that are garbage that people use just to get rid of them or don't play because they just aren't funny or fitting of the category. Some of my friends still enjoy the game and they ask to play it sometimes, but it's not something I ever suggest anymore",2
Funny until the cards go really south!  I wish I would have researched this a bit more prior to purchasing.,2
It was good but not nearly as great as the reviews and all the talk about how fun and funny it was to play!,2
If you like drunken party games,2
This is a very fun game but there are a few cards that will literally turn your stomach and say ‰ÛÏWhy?!!‰Ûù They are that bad. Some things you just don‰Ûªt joke about or if you do then you‰Ûªre sick. I‰Ûªm sorry but I don‰Ûªt find ‰ÛÏdead babies‰Ûù funny at all. That card will go in the trash. I get that the creator wanted to push the envelope to make this an epic fun game but some things are just not funny and ticked me off.,2
"After a few months of this game. its just meh...the jokes get old quickly and even with the new packs. i feel this is a good game for new friends, but after a few rounds, thats it.",2
I've only used this game twice and most of my friends think it's cringy,2
Highly inappropriate.,2
Should be X rated.  We had to censor ours before playing a second time.,2
I do like the game but they send me a box with a bunch of double cards. so I am pretty much playing with half of the box instead of the whole thing. I had to order another box from the company.,2
This card game was really fun until I saw cards that promote anti-semetic jokes. NOT O.K.,2
We have owned Cards against Humanity for awhile now and I sent this version to s friend as a hostess gift (old college roommate).  I had been telling her how funny and sick the game is.  Was I surprised when it was so tame.  The cards were funny but nothing like in my version at home.  It was boring because we weren't laughing as hard as usual.  Not sure if people complained so much they PG rated it or what but I was very disappointed.,2
"These cards go too far. I bought online as a Christmas gift, but returned as soon as I saw what some of the cards said. Far too much sexual content. Not a fan of crude games. Guess the name should have tipped me off though",2
"It's an ok game.  It's like apples to apples if a couple of drunk perverted college kids wrote the questions and answers.  It is very cheap and generic in appearance, the cards kind of look homemade.  I played it once and gave it away.",2
"They took out some cards that a few people complained about and said were offensive. That's right. The game is supposed to be offensive, and the creators caved when someone *gasp* got offended.",2
Not much different from Apples to Apples except for the crudeness.  Wanted to like this from reading the reviews but everyone that played kept saying it's like Apples to Apples but with vulgarity added.,2
"Apples to Apples is kind of a lame party game to begin with. Making the responses edgy only helps it for a little while. The shock value is minimal and wears off pretty quickly. I played a game with friends. By the time we were done, I knew I'd probably never play again.",2
"People say this is so much fun. I don't really think it is. it's kind of lame, loaded questions is way better",2
"We bought this game due to its popularity and because my friend group is always big into new card games or board games. We are big fans of the Apples to Apples card game, which works the same way but is not targeted to adult audiences. I was excited to try this card game since it allows for more salty content and unpolitically correct hands. However, after opening the card deck and reading the phrases, I was very disappointed at how blatantly vulgar and sexual most of the cards are. It seems far to forced and doesn't allow for the fun and nuance of making your own jokes by the choice of card play. As a result, I've had it for over 2 years now and it has never been selected as the game to play. I'm almost a little embarrassed I own it.The construction quality of the card box and the card lamination is excellent, so really the bad review is about the quality of the content, not the quality of the construction of the game.",2
It is okay. I heard tons of hype about this game and it didn't live up to expectations. Some of the answer cards are just dumb and lack creativity. Reminded me of playing madlibs w a child trying to be funny.,2
"The product itself is good quality, but the content shocked me. This game is hilarious - a total hoot to play, but the raunchy content ruins it. This would be a great game if the designers would clean it up a bit. As it is, I wouldn't even play it with my teens. Adults only.",2
"Nice party game, but card contents are mainly based on American/British Culture and unless you are too familiar with that you spend half the game time on Google. Even after you are confused whether other players (especially Card Czar) gets your point and you miss some opportunities to match cards. Despite there are 250 cards in a deck, after playing 3 or 4 times it becomes boring. Overall 4 stars for Americans/Brits, 2 stars for foreigners.",2
"I'm not a prude and really expected this to be hilarious. Some cards were; however the majority, in my opinion, were just plain mean!",2
"It is a fun game, the first two times that it is played.  After that, the shock value wears off and it is repetitive and drab.  Much like a boat, it is better to know someone who owns it, than own it yourself.",2
I get it. I really do but it wasn't as much fun as we thought it would be. We laughed but we've not picked up the game since playing it the first time. Not out favorite.,2
"This is the kind of game that's cool and interesting the first few times you play it, but gets very dull once you've seen most of the cards. The expansions attempt to keep it new and fresh, but there are so many other party games I recommend over this one. I guess it's fun to play with people who have never played it, so you can see their reactions to the cards. But that's about it.",2
"It relies on shock humor, but gets old after a few hours of playing",2
"Ok game to play a few times.  Gets old fast though.  Fun but WAYYYY overrated, don't expect too many playthroughs. Impossible to buy used or sell thanks to Amazon policy on this game.",2
"Though I was aware this game was a bit ‰Û÷risky‰Ûª, I didn‰Ûªt care for it‰Ûªs bold profanity. Just too offensive for my taste.",2
Game isn‰Ûªt for me. It is funnyish. But crude and not funny enough to overlook.,2
"Everyone was speaking about this game, and I didn't like it. It is just boring, sometime funny, but really you need alcohol to play....",2
"I anticipated irreverence and tastelessness, but I thought the game would allow for much more creativity. Instead, it opens up the opportunity to express dark, but rarely funny responses; hatefully good fun? The problem is that the game doesn't leave any room for a deeper engagement, nor does it allow players to inject their own humor. The mechanism disallows players to be accountable for espousing potentially horrid personal views, as they are prefabricated.By design, 'Cards Against Humanity' can't be funny, anymore so than can any  humor algorithm; it's just  too arbitrary. Playing is like being forced to watch poorly scripted television comedy of the 80's; the game plays itself.It's a dreary spectacle.",2
Lots of fun,2
Game is awesome but I'm giving it a 2 until I can get a new one mine had a bunch of doubles,2
Concept is good but the game is too subjective.  You need the right mix of people to make the game interesting.  Without the right mix the game does not stand on its' own as entertainment.,2
It is a good game but you need certain people to play it with. This game is not meant for everyone,2
"Eh, I've played this game with 3 sets of people and no one is liking it. It's boring high school humor.",2
"We played with another couple. We were all excited about the reviews, but we're very disappointed and found some of the question/answers stupid",2
"Brought this to work, was pretty fun the first time after playing like 15 rounds. Second time we played, it got kinda boring. I dont for see much replayability as the cards come up again and again.If they added more elements to it, it would be better. Other than just choosing answers and ending the actual 'playing' there",2
Less than stellar.,2
Couldn't possibly be fun unless you're all high on mushrooms or cocaine. Even with a fair amount of drinking I found this 'game' to be pretty boring. Nobody else seemed to be having as much fun as other reviews seem to imply. I guess to each his own.,2
Not worth the money I spent. Played it once w friends. Once was okay. Wouldn't rush to play it again.,2
Funny game first couple times you play but quickly gets old. There‰Ûªs a ton of expansions to the game but I haven‰Ûªt used any. Not for the prude or faint hearted. Most of my friends have all played it and the fun is worn out,2
Good,2
Thought it would be funner,2
Not what I expected.  Wanted to return it but didn't want to pay the fee.,2
"Great game , many of the cards came dirty , very disappointed",2
It looked new but the cards were mostly tore up. It was a Christmas present so by the time it got used I was unable to return,2
This game is Just o.k.  Definitely did not live up to all the hype.,2
"I don't get what the hype is all about. I didn't giggle as much as I anticipated. Fun, but... Meh.",2
"Is this what the world has come to?!Utterly banal and filthy. My adult son ordered this game. He has free will, but I let my feelings be known. I cry for our human race; for our children.",1
Too much for a family game.  Didn't realize how across the line it would be!,1
"a 13 yr old meth head might think it is funny, I just cringed and didn't laugh much.",1
"If you are 18 and drunk, this game is for you, otherwise, stay clear.  I found the cards distasteful, embarrassing, and totally classless. I'm shocked and disgusted that so many people gave it high marks.  I bought it for a 22 yr. old who felt violated when she read some of the cards. I really messed up buying it as a gift!",1
"It‰Ûªs just not very funny, compared to Relative Insanity. (Just wrote a review of that‰ÛÓ5 stars.) The cards that are funny are also grossly filthy, and I‰Ûªm no prude. I played with 4 other people, all in our 60‰Ûªs, all well-educated professionals. We were trying to figure out what demographic it would appeal to. Too many of the cards were just ‰ÛÏduh‰Ûù stupid, or extremely serious. What can possibly be funny about ‰ÛÏChild abuse‰Ûù ??  I bought Relative Insanity for someone else as a requested gift. I bought CAH at the same time just because I had heard so much about it. I am sorry I wasted my money. I‰Ûªll buy Relative Insanity for our game nights, and am seriously thinking about returning CAH because it is just not that funny.",1
"With five stars and over 30,000 reviews I thought we had a hit.It was a bust. Definitely NOT what I thought it would be.I hadn't bothered to actually read the  reviews. I know, rookie mistake.In order to play this game we would have had to edit a good percentage of the response cards due to vulgarity and inappropriateness.Of course, the box does specifically say it is a game for horrible people.  But that was a joke, right?Thanks Amazon, for having a generous return policy.  We'll stick with What Do You Meme?, Jack Box, and Exploding Kittens.",1
"I read the reviews, and I heard people say this was so fun.  The group of people I wanted to use this with includes two teens.  One of the reviews said they took out the cards that referred to God---one was'the blood of Christ'--2 referred to Jews in an antisemitic way, the rest were about sex mostly.  Well the idea is a great one but the authors must get their heads out of the can.  I decided to through it away",1
Game was open before I got to open it isn't  this a new game? I am super pissed now.,1
"The only thing I recommend to do with this game is throw it in the trash where it belongs.  It should be XX rated.  The sexual innuendos go too far,  sexual abuse, beastiality, unheathy sex and much more.  My family loves board games but when we gave this a try we all reacted with thumbs down.  Should only be sold in adult book store.",1
I was really disappointed!,1
"Should of read the reviews before buying.  Had hoped it would be fun for everyone but found it offensive and disgusting.  Do not understand why you could not make it funny and interesting without discussing rectal penetration, etc.  Very offensive to this old lady but the men love the game.",1
"This was  a waist of my money,  worse game I've ever played! Had 6 people over and everyone hated it!!",1
Not for kids at all under the age of 21,1
There are anti semitic remarks in it. Target has recently taken this game off of its shelves. There is a jew pack. It is disgusting and we should ban this.,1
Horrible game.  Part of our deteriorating culture.  And I have a rather dark twisted sense of humor but please don‰Ûªt buy the products.,1
Had some pretty offensive cards,1
It is filthy. Had no idea or wouldn't have made the purchase.,1
waste of money,1
I like a little naughty humor but this has way too much offensive content like child molestation.,1
Thought this was a different game.  This game is not much fun and kind of corny.,1
Not good,1
I lost interest after new details came out.,1
Some of the cards were printed hazy and others almost blank. Had to throw them away.,1
My box came damaged,1
This item wasn‰Ûªt in the package! Package was empty !,1
Love the game... box came in damaged and bent up...,1
"The game itself is awesome. But when it arrived the card box was sticky and when I opened it, it had mold growing it!",1
"I received a salt and pepper shaker instead of the game. I don‰Ûªt know how that happened. Lol. I thought it was a joke package at first but sure enough, it was an empty salt and pepper grinder.",1
Can't really leave a product review since my bag was empty! No game was included.,1
Game is great but there are spots on a lot of the cards that look like blood or rust and some of the print is rubbed off the back of several of the cards. Very disappointed for what I paid to receive something like that,1
The order I received is not version 2.0. It is version 1.7.,1
"Was just a virtually an empty box.  There were only blank cards with very few other cards included. The item was presented as you were getting the actual game, but Bam!  Empty box _ÙÒ_",1
I only got 23 black cards in my set.,1
"If I could give it a zero I would. Was told by a friend it was a fun family game. Our whole family was disgusted by the racism, anti-Semitism, sexism in what is supposed to be humorous. It‰Ûªs hard to disgust all of us:  we are a family where some vote Republican and others Democrat and others have their own ideas. We are Catholics and Jews and spiritual but unaffiliated. We are liberals and conservatives. We range in age from 70 to 3. After we read the supposedly funny questions we felt like we needed a shower. The game went in the trash can.",1
Package arrived empty,1
Apparently we are not ‰ÛÏwith‰Ûù it ... many of these cards would even make my beer drinking golfing buddies say this is not appropriate.,1
"This seems to be an updated version of the one I played many times several years ago. Enjoyed it playing it so much I wanted a deck for myself. However, this one contained many obscene cards that I was deeply embarrassed when I introduced it at a party I recently held. I had no idea these cards were part of the deck and was mortified when one was selected by one of my guests.  I know these cards were not a part of the previous deck I played with. Why was it necessary to add these tasteless questions? I am not a prude and enjoyed the deck I played with before and the occasional 'suggestive' questions. But these went way over the line. Very disappointed.",1
Received an EMPTY BOX very upset,1
"Ask around/ read reviews FIRST. My own kids were somewhat appalled that I ordered these. I thought the could be fun. COULD BE if it wasn't so vulgar and representing the worst in our culture. When I read the reviews I realized why and requested a return. Plus, nearly everyone says this gets boring after 3 games. No need to waste money contributing to the deliquency of my own soul or society.",1
"Repetitive cards, should have returned it but didn‰Ûªt realize it till it was too late.",1
I didn't realize the cards were a set up to generate gross responses.  Crude.  Sophomoric.,1
Offensive. Inmoral. Description does not say anything about the topics and/or language used in this game. Misleading.,1
Purchased for a family night game. Boy was I surprised when I read a few of the cards! Talking about masturbating with my grandchildren at Christmas time is too disgusting for us!!! Should be a better description of game.,1
Bought this for a party.  It was so vulgar I sold it.,1
I knew this may have some ‰ÛÏiffy‰Ûù content but I didn‰Ûªt think it would be disgusting,1
Will never buy another deck.A game that strives on being 'non PC'  is attempting to get in the way of protecting the American borders. Treasonous company with frivolous PC stunts.,1
Just too try hard there‰Ûªs rarely funny combination and more three cards they found the most shocking/racist/random xD,1
It was boring.,1
Not for me. I returned the game.,1
The game don‰Ûªt make any sense it was a waste of money,1
Don't approve of content.,1
"I returned this game after I read the back of the box.  I had heard it's not for the faint at heart but even so, it was worse than I expected.",1
Stupid and forced. The Mad Libs we played in elementary school were much funnier.,1
most dissappointed in the game,1
Its kind of boring. You ho though the cards too quickly. Its just never as fun as the first time.,1
"I guess you have to have a particular sense of humor that none of my friends, nor I posses.  This game was boring and a struggle to find humor. I am the first to enjoy a good raunchy joke, but most of the player cards were just stupid and/or disgusting.",1
Junk game.,1
Horrible.  I could not imagine playing this with anyone.,1
I thought I would be able to play this with my granddaughters. No way. The cards are rude and crass and inappropriate. Not funny to me at all. Must be for 20something age group.  I wouldn't play this if you paid me.,1
"My grandson ask for this game for Christmas for the family to play together. When we started playing, it was okay, then the most vulgar cards started appearing, that‰Ûªs when I started picking up the cards and putting back in the box. I was so humiliated. I told my grandson that I was sorry, but being a Christian, I told him that, I didn‰Ûªt think the game was appropriate for a 17 year old. I told him that I would get him farkel, which I had played before, he understood, and now Im buying him  farkel.",1
These cards came bent and cut up,1
This is the dumbest and the least entertaining game I've ever played. Yuk!,1
The game is a lot of fun but the cards came smudged and had duplicate text on them. It looks like they were printed and packaged too soon. Most of the cards are defective. Very very disappointed.....,1
I got this game because I heard a lot of great things about it but I wasn't too impressed. Maybe my expectations were too high. Now it's just collecting dust.,1
Too many duplicayes! Not very fun when you have two of the same cards in your hand. Not much of an expansion if I already have a bunch of the cards.,1
"First of all, this game is intended for adults. Secondly, this game involves a zero IQ with incessant sexual content that becomes lackluster within minutes. To be open minded, I shared the cards with about a dozen people (between 24-65) and censed their opinion. To my surprise, no one found it interesting. We enjoy games but this one is simply too strange.",1
"This wasn't as spectacular as reviews made it seem. We played this with 30 yr olds, 20 yr olds and 18 & 19 year olds. Sure, you may get the occasional funny lines/combinations, but it wasn't continuous. We aren't serious people, we joke around, have fun, we all have a sense of humor and some of us have a dark sense of humor but this game isn't worth the hype. Unless you're drinking or, on some drug, this game is not a 'non-stop full of laughs' nights. You must be on that 'everything is so funny' mood to find this game hilarious.",1
"I'm not a prude, I would enjoy a sick game like this but it gets redundant fast.  We played it twice with 2 different groups and it was already getting old.  I sold it for $10  I wouldnt spend $25 on it if I had it to do over again.  We like Balderdash much better and it has much more starting power.",1
Great concept. To vulgar for me,1
"If you like crude porno and diarrhea humor, you'll love this game.  If not, don't buy.  It's popularity is a sad testament to our current state of affairs ...",1
Just a little too snarky for me.,1
"I received the set, read a stack of cards, then gave it away in a white elephant gift exchange. Unfunny",1
"Some are funny, but some are highly questionable",1
Trashy,1
Played for ten minutes then quit,1
"Waste of money. I thought it was going to be this hysterical game and myself, husband, and two friends just didn't get it. We thought it was pretty stupid.",1
DOES NOT CONTAIN LABELS,1
"It's kind of old and well, rather boring now.",1
"I purchased this game for my husband's birthday. We love playing games or cards and just relaxing at home and having a drink. So when I read the rave reviews I was so excited to try this 'hilarious' game. However, we really hated this game. Unless you are blitzed out of your mind the game sucks and has no point or objective at all. We were very disappointed and ended up returning the game.",1
So disgusting!! Brought this game that I never oppened since I got it in November to my Christmas party with friends and was so embarrassed that the cards were DISGUSTING! It looks like snot was all over them. So completely gross I don't know how this was able to be sold. I want my money back and I will send you them back. Soooo gross!!!!!!!,1
"got this game,found it offensive & had to return it.OK with adult humor most of the time,but this was on verge of pornographic",1
Just a bunch of dumb cock jokes for $25,1
I googled 'games to play with my teen kids' and THIS is on the top of the list?!?!? MAJOR INAPPROPRIATE!,1
Silly game...,1
Really unhappy with the way that my cards came in the mail. The box was ripped and opened when I received it. I feel like I got a used product and I'm not sure if I even received all of the cards that come with the game. I'll be returning the package since I can't even use the box anymore to store the cards.,1
This shipment arrived with the box completely broken once you took the plastic wrap off. What a joke! $25 for cards with no box to hold them in!,1
"I just spent good money for this game because I know that it makes every party more fun, but when I opened the package, the box was falling apart and the cards went everywhere. I can always put them in a new container, but when you buy something brand new, it should be brand new and not ripped apart. Some cards are ripped too. The game is great, but that was a pretty awful way to get it.",1
"I thought it would be funny, and it was, but my family hated it. They won't play it with me and think I'm twisted now.",1
"what is the big deal????so not funny nor entertaining, complete waste of $25 _Ù÷Á",1
"Be careful, many cards are too vulgar for our group. Ok, so we're older conservative folks. In order to try the game we removed over half the answer cards, it then turned out ok, but not worth the time or eco ensue.",1
It was so negative I re- sold it to someone who liked the game.,1
I purchased this kind of on an impulse as a fun and funny card game to play with family over the holiday weekend.  I should have known.  Some of these cards are extremely offensive.  Going to sell this to recoup some of my money.,1
"So we bought this game due to the fun we've had playing it with friends.  However, we were greatly disappointed with the fact that we had way too many duplicate cards.  It was ridiculous.  We would have preferred half the cards versus getting two of everything.",1
Not what I expected. Gave it away.,1
2/3 of the black cards were bent.  All of the cards are of poor flimsy quality and even worse printing.  Save yourself the money and print them out at home.,1
"Boring game, after one play it was played out",1
Stupid game,1
"I am not a horrible enough person to truly enjoy this piece of Garbage.  It is a filthy game!  As soon as I read some of the cards, I promptly returned.",1
"the game is terrible, not funny at all. i wish i could return it",1
"I bought this game as a gift originally for my grandma because I had heard it was hilarious and she had a really good sense of humor, but the front said 'a game for horrible people' so I was curious and opened it. I am so glad I never gave it to her. This game it's straight up raunchy and awful. That being said I found it hilarious and an absolute hysterical time. My siblings and I played until the wee hours of the morning -that's saying a lot considering we both have young kids. Speaking of kids I would not play this around any kids because it's littered with swear words and racial/gender/ politically incorrect jokes. If you are really offended do not get this game, otherwise I would 100% recommend.",4
This is a fun game that everyone should own. The cards got here in a timely manor. Only reason for four stars instead of five is the box the cards are meant to be stored in already has a rip or crack in it see attached picture. This doesn‰Ûªt affect the cards at all but if I buy something as new it makes me sad to see wear and tear before I even open it.,4
"I find this to be a very fun party game, BUT as most low rating reviews say 'it can get stale', which is true since I played it for the first time with four other people, got through all the cards, and hurt my sides laughing too much. The next day I tried playing again with the same people and it just was not as funny. I tried again with different people months later and got to the point of pain in my stomach again from how funny it is.My recommendation is to get the core set with as many expansions as you can get since the main set has repeated cards and not enough content. Also, play with many other people and space out the time in between for when you play the game so old jokes can become funny again and you forget all the responses to certain black cards.",4
"Upon looking at the set laying on its side in the box I could tell that some cards were made from a different batch since they weren't as white. Some cards were flimsy and thin, you could see the card stock the print is on. It was kind of annoying. I was expecting a good quality set of cards. It's easy to tell when you hold them side by side which ones are good quality cards. The thin cards obviously show the card stock they are on its not as bright white and sturdy.I'm not too sure if the expansion packs were the same, because we mixed them with the rest, but the main set definitely was a mix of good and thing cards.",4
"Cards Against Humanity: 4+ Players, Ages 17+, Average Play Time = 30-90 MinutesThere isn‰Ûªt much to say about the card art‰Û_the game comes packaged in a black box with white text.  The cards are similarly designed in that they are either white text on black or black text on white‰Û_nothing all that fancy.  The manual is very easy to understand, to the point where you can set up and play within seconds of opening the box.  Even if you‰Ûªve never played ‰ÛÏApples to Apples‰Ûù or similar games before, it will take you perhaps minutes to learn.  The quality of the cards are fair‰Û_roughly the same quality as a regular deck of a playing cards in that it‰Ûªs possible to bend them if you‰Ûªre not careful.Of course, people who have heard about ‰ÛÏCards Against Humanity‰Ûù don‰Ûªt buy it for the card art‰Û_rather, they buy it for the content on said cards.  In a word, this content is inappropriate.  This is one game that you should definitely not introduce to your kids, unless they happen to be over seventeen years of age.  The vocabulary by itself is questionable, but some of the combinations that form between the black and white cards can really be‰Û_well, let‰Ûªs just say you wouldn‰Ûªt (or shouldn‰Ûªt) repeat them in public.  With only 550 cards, the content does tend to repeat after multiple playthrus.  Luckily, the game variants listed in the manual serve to mix things up a bit.  One variant, for example, eliminates the role of the Card Czar while another introduces an imaginary player named Rando Cardissian (Billy Dee Williams impersonations are optional).As fun as the game is, I‰Ûªm a bit put off by the price tag.  ‰ÛÏCards Against Humanity‰Ûù is currently retailing for $25.00, all of which grants you a total of 550 cards.  When you compare that to ‰ÛÏApples to Apples Jr‰Ûù (576 cards for $10.00) or ‰ÛÏApples to Apples Party Box‰Ûù (1,000+ cards for $25.00), it‰Ûªs hard not to be a bit concerned.  The four expansions themselves contain 100 cards each and retail for $10.00 each.  If you add all of that up, you‰Ûªd come to $65.00 for 950 cards‰Û_ouch.  Suddenly the ‰ÛÏApples to Apples Party Box‰Ûù is looking much more affordable and appealing.  If the card art were superb, I suppose I could justify the higher price tag‰Û_as mentioned in the above paragraph, this simply isn‰Ûªt the case.  To be fair, you can download a print and play version for free‰Û_though the developers estimate that it‰Ûªll cost about ten dollars to print everything and buy a box to contain it.  I didn‰Ûªt have to time to fact check this estimate, though I‰Ûªm sure savvy shoppers will find ways to beat it.In the end, ‰ÛÏCards Against Humanity‰Ûù requires a lot of things to be successful.  First, you‰Ûªll need a group of adults.  Second, you‰Ûªll need a group of adults who occasionally act like kids.  Third, you‰Ûªll need a group of adults who have a sense of humor‰Û_a REALLY good sense of humor.  The more warped the sense of humor, the better.  Finally, you‰Ûªll need a group of adults who aren‰Ûªt easily offended.  If you can satisfy these requirements and don‰Ûªt mind the price tag, then you‰Ûªll find ‰ÛÏCards Against Humanity‰Ûù to be an outstanding party game.  The more folks playing, the better.  It‰Ûªs best to keep the kids away from this one, due to the adult content listed on the majority of the cards.  I‰Ûªm looking forward to giving this a go during our next family get-together, just to see how other people I know respond to it.",4
"I was really excited when I first ordered this game set of Cards Against Humanity. I was a little disappointed however, when I received the box in the mail, as I anticipated that the box would be larger (like the size of a regular Apples to Apples game). Instead, you get one compact box and it contains the black and white cards (Black being the questions and the white cards being the answers). The content of the cards is hilarious when you get a group of no-good nicks around, and is a sure fire way to get a party started between a group of friends after a few drinks! SO, I only gave it 4 stars instead of 5 because: 1. I anticipated the box to be a bit bigger and 2. a couple of the cards in the deck were not cut right (a portion of the black color was on the white card). Other than that: good game for a group of 6+ people.",4
"I got this as a gift for my sister. She loved it, but remember this is an inappropriate adult game. Nothing worse than being at a family holiday and your crazy aunt announces we have to play cards against humanity. I don't want to play this game with my parents and you certainly should not play it with children. But in the right setting it's hilarious and a total riot.",4
